the_geom,id,continent,country,city,iso_a3,name,h_type,cartodb_id,src_year,src_type,src_add,src_status,src_drawer,notes,h_special,h_vaccine,within_5km,optid,fib_dist,adm1_name
0101000020E6100000410A96FAD2975640FFAEA7678BBE3740,,Asia,Bangladesh,,BGD,Prime Bank Eye Hospital,Hospital,54611,25,22,22,22,119,,,,TRUE,54611,,Dhaka
0101000020E610000070FEDC8687985640F3A96395D2BD3740,,Asia,Bangladesh,,BGD,Lab Aid Hospital,Hospital,56194,25,22,22,22,119,,,,TRUE,56194,,Dhaka
0101000020E6100000312DB1321A9856403E58326C39B83740,,Asia,Bangladesh,,BGD,Marie Stopes Clinic,Medical Clinic,56197,25,22,22,22,119,,,,TRUE,56197,,Dhaka
0101000020E6100000C136983C5498564040C07C0D1CBD3740,,Asia,Bangladesh,,BGD,Anoara medical scenter,Hospital,56244,25,22,22,22,119,,,,TRUE,56244,,Dhaka
0101000020E6100000569A4AF5D39756400BFFFA3262B63740,,Asia,Bangladesh,,BGD,Puspit Nursing Home,Hospital,56257,25,22,22,22,119,,,,TRUE,56257,,Dhaka
0101000020E61000002FA9ABCE8A9956401C2BAEE06DB93740,,Asia,Bangladesh,,BGD,Arafat General Hospital,Hospital,56269,25,22,22,22,119,,,,TRUE,56269,,Dhaka
0101000020E61000001DE8FC6F809856404D23997A82BD3740,,Asia,Bangladesh,,BGD,Dr. Refayetullah Eye Care Center,Medical Clinic,56276,25,22,22,22,119,,,,TRUE,56276,,Dhaka
0101000020E61000008A0A9C6C839856404D21B2A3CCBD3740,,Asia,Bangladesh,,BGD,Advanced Laser Cosmetic and Skin Care Center,Medical Clinic,56292,25,22,22,22,119,,,,TRUE,56292,,Dhaka
0101000020E610000066333D17FC985640EBD5D86F37C23740,,Asia,Bangladesh,,BGD,Al Fateh Diagnostics,Hospital,56302,25,22,22,22,119,,,,TRUE,56302,,Dhaka
0101000020E61000008D0297FCF99856405DCD4B0F54C23740,,Asia,Bangladesh,,BGD,Al RAzi Hospital Building,Hospital,56303,25,22,22,22,119,,,,TRUE,56303,,Dhaka
0101000020E6100000B789A427F69856406573524E6AC23740,,Asia,Bangladesh,,BGD,Al Razi Hospital (Ext),Hospital,56305,25,22,22,22,119,,,,TRUE,56305,,Dhaka
0101000020E610000026A21BB1F8985640AA516A8A5BC23740,,Asia,Bangladesh,,BGD,Al Razi Hospital Complex,Hospital,56306,25,22,22,22,119,,,,TRUE,56306,,Dhaka
0101000020E61000009B734B06DB9756402D5E3D38E9B73740,,Asia,Bangladesh,,BGD,Al-Ahsan Diagnostic Hospital,Hospital,56307,25,22,22,22,119,,,,TRUE,56307,,Dhaka
0101000020E61000005206C4DACE9756403228507A95B73740,,Asia,Bangladesh,,BGD,Aleya Islam General Hospital,Hospital,56311,25,22,22,22,119,,,,TRUE,56311,,Dhaka
0101000020E610000047119A2D5F9956400CB33CB434BD3740,,Asia,Bangladesh,,BGD,BIRDEM,Hospital,56322,25,22,22,22,119,,,,TRUE,56322,,Dhaka
0101000020E610000018272AC01C995640D5A83DDB59BA3740,,Asia,Bangladesh,,BGD,BUET Health Complex,Hospital,56327,25,22,22,22,119,,,,TRUE,56327,,Dhaka
0101000020E6100000BBB43C6AA7975640364F3C670BC03740,,Asia,Bangladesh,,BGD,Bangladesh Medical College Hospital,Hospital,56341,25,22,22,22,119,,,,TRUE,56341,,Dhaka
0101000020E6100000C759E1EA8F9856401C042ED9C2C03740,,Asia,Bangladesh,,BGD,Bangladesh Spine and Orthopedic Hospital,Hospital,56343,25,22,22,22,119,,,,TRUE,56343,,Dhaka
0101000020E610000020BBC1067A995640EC5FB422C5B93740,,Asia,Bangladesh,,BGD,Dhaka Medical College Hospital,Hospital,56396,25,22,22,22,119,,,,TRUE,56396,,Dhaka
0101000020E6100000BFCE4D9B7199564007A4B38295B93740,,Asia,Bangladesh,,BGD,Dhaka Medical Hospital,Hospital,56397,25,22,22,22,119,,,,TRUE,56397,,Dhaka
0101000020E61000001E61E8E7479856403AAB1622F1BC3740,,Asia,Bangladesh,,BGD,Dhanmondi Oro-Dental Surgery,Medical Clinic,56403,25,22,22,22,119,,,,TRUE,56403,,Dhaka
0101000020E610000017399821D397564070672618CEBE3740,,Asia,Bangladesh,,BGD,IBN Sina Diagonistic and Imaging Centre,Hospital,56424,25,22,22,22,119,,,,TRUE,56424,,Dhaka
0101000020E61000005DE0A8CB989756401E04503173C03740,,Asia,Bangladesh,,BGD,Ibn Sina Hospital,Hospital,56426,25,22,22,22,119,,,,TRUE,56426,,Dhaka
0101000020E610000014F88A6E3D9956404EE449D235BD3740,,Asia,Bangladesh,,BGD,Institute of Nuclear Medicine,Hospital,56432,25,22,22,22,119,,,,TRUE,56432,,Dhaka
0101000020E6100000D85A525EA29856400343780F2BC23740,,Asia,Bangladesh,,BGD,Ispahani Islamia Eye Institute and Hospital,Hospital,56444,25,22,22,22,119,,,,TRUE,56444,,Dhaka
0101000020E6100000F7E06BBE0098564015693DD752BD3740,,Asia,Bangladesh,,BGD,Japan Bangladesh Friendship Hospital,Hospital,56450,25,22,22,22,119,,,,TRUE,56450,,Dhaka
0101000020E6100000399A4D0D0198564045CB37914FBD3740,,Asia,Bangladesh,,BGD,Japan Bangladesh Friendship Hospital,Hospital,56451,25,22,22,22,119,,,,TRUE,56451,,Dhaka
0101000020E610000080A9EE1CCD9856409A81583673B93740,,Asia,Bangladesh,,BGD,Maternal and Child Health Training Institute,Hospital,56471,25,22,22,22,119,,,,TRUE,56471,,Dhaka
0101000020E6100000250CAC012A995640B443B2367CC03740,,Asia,Bangladesh,,BGD,MediPlus Pharma & Personal Care (Pharmacy),Hospital,56479,25,22,22,22,119,,,,TRUE,56479,,Dhaka
0101000020E61000004FF3FA38FF975640DAA8CB18D5BD3740,,Asia,Bangladesh,,BGD,Medinova Medical Services,Hospital,56485,25,22,22,22,119,,,,TRUE,56485,,Dhaka
0101000020E6100000DAD37A649898564019283ADC58BC3740,,Asia,Bangladesh,,BGD,Medona Dental Clinic,Medical Clinic,56486,25,22,22,22,119,,,,TRUE,56486,,Dhaka
0101000020E6100000569CC5E6BE9856400BC248D4B0BC3740,,Asia,Bangladesh,,BGD,Meherun Homeo Pharmacy,Hospital,56489,25,22,22,22,119,,,,TRUE,56489,,Dhaka
0101000020E61000004123264E1A9856407C0D3E833CB83740,,Asia,Bangladesh,,BGD,Men stopes clinic,Medical Clinic,56492,25,22,22,22,119,,,,TRUE,56492,,Dhaka
0101000020E6100000262B3C1E69985640697308C14FBD3740,,Asia,Bangladesh,,BGD,Modern Physiotherapy,Hospital,56507,25,22,22,22,119,,,,TRUE,56507,,Dhaka
0101000020E6100000EC6BB823F7975640FAB5BC72BDC13740,,Asia,Bangladesh,,BGD,Mother Care Hospital,Hospital,56521,25,22,22,22,119,,,,TRUE,56521,,Dhaka
0101000020E61000000EE7864BB39756403D4074F7EFBE3740,,Asia,Bangladesh,,BGD,Naz-E-Noor Hospital,Hospital,56565,25,22,22,22,119,,,,TRUE,56565,,Dhaka
0101000020E6100000CC8FD0E0809756408A84228216BB3740,,Asia,Bangladesh,,BGD,Nogor Sasforende,Hospital,56576,25,22,22,22,119,,,,TRUE,56576,,Dhaka
0101000020E6100000B5265A35CF975640F1E5CC7685BE3740,,Asia,Bangladesh,,BGD,Northern Medical College & Hospital,Hospital,56580,25,22,22,22,119,,,,TRUE,56580,,Dhaka
0101000020E61000008DB71615C09756401098A9A4A9BE3740,,Asia,Bangladesh,,BGD,Northern Medical College & Hospital,Hospital,56581,25,22,22,22,119,,,,TRUE,56581,,Dhaka
0101000020E6100000D62A77555698564092859E831DBD3740,,Asia,Bangladesh,,BGD,OHCL,Hospital,56585,25,22,22,22,119,,,,TRUE,56585,,Dhaka
0101000020E6100000536820964D9956404C1B1F775BBD3740,,Asia,Bangladesh,,BGD,Outdoor,Hospital,56588,25,22,22,22,119,,,,TRUE,56588,,Dhaka
0101000020E6100000EEB82D4567995640B064B03D0EBA3740,,Asia,Bangladesh,,BGD,Outdoor Department of DMC,Hospital,56589,25,22,22,22,119,,,,TRUE,56589,,Dhaka
0101000020E6100000089645BC509956405C63A8D436BD3740,,Asia,Bangladesh,,BGD,PG,Hospital,56591,25,22,22,22,119,,,,TRUE,56591,,Dhaka
0101000020E6100000BCD2CBAF30995640584A02791BBD3740,,Asia,Bangladesh,,BGD,PG Emengency,Hospital,56592,25,22,22,22,119,,,,TRUE,56592,,Dhaka
0101000020E6100000FA0BF3D459995640B1EEE6A90EBE3740,,Asia,Bangladesh,,BGD,PG Nursing Department,Hospital,56593,25,22,22,22,119,,,,TRUE,56593,,Dhaka
0101000020E6100000801DC9684E995640F68D65B098BD3740,,Asia,Bangladesh,,BGD,PG Outdoor,Hospital,56594,25,22,22,22,119,,,,TRUE,56594,,Dhaka
