the_geom,cleanup,type,country,iso_a3,pop_max,pop_min,name,continent,date_add,cartodb_id,mapper,population,src_geo,src_pop,pop_src_yr,within_5km,region,adm1_name,fib_dist,pop_perc
0101000020E6100000074DBADC490C1DC07826A89F3F454440,2018-08-08,Provincial Capital,Portugal,PRT,32111,32111,Guarda,Europe,2018-08-08,178,HIP-JM,32111,1,1,2014,false,x,Guarda,,0.30370468452960800
0101000020E6100000B8F62927D7A31FC04B06D37218544440,2018-08-08,Provincial Capital,Portugal,PRT,26364,26364,Viseu,Europe,2018-08-08,179,HIP-JM,26364,1,1,2014,false,x,Viseu,,0.24934976496959300
0101000020E6100000555F222057D520C0A30D0BDEA5194440,2018-08-08,Provincial Capital,Portugal,PRT,106582,89131,Coimbra,Europe,2018-08-08,2615,HIP-JM,89131,1,1,2014,false,x,Coimbra,,0.8429977962943700
0101000020E6100000E57860EEFDFF1DC0239C928344244440,2018-08-08,Populated place,Portugal,PRT,24828,17610,Covilha,Europe,2018-08-08,970,HIP-JM,17610,1,1,2014,false,x,Castelo Branco,,0.16655474742506900
0101000020E610000047780928B6F31DC046B7CAB8CEE74340,2018-08-08,Provincial Capital,Portugal,PRT,33479,33479,Castelo Branco,Europe,2018-08-08,177,HIP-JM,33479,1,1,2014,false,x,Castelo Branco,,0.31664317938920500
0101000020E6100000E4263C9E1F051BC09D9B2E726CE74440,2018-08-08,Provincial Capital,Portugal,PRT,34375,34375,Braganca,Europe,2018-08-08,176,HIP-JM,34375,1,1,2014,false,x,Bragança,,0.32511751520367700
0101000020E6100000CC4141702F5D21C0967C1E69919D4340,2018-08-08,Provincial Capital,Portugal,PRT,29385,29385,Santarem,Europe,2018-08-08,175,HIP-JM,29385,1,1,2014,false,x,Santarém,,0.27792227445120200
0101000020E610000011C7BCB9B8D720C088E78D0F0AC74440,2018-08-08,Provincial Capital,Portugal,PRT,826833,181819,Braga,Europe,2018-08-08,969,HIP-JM,181819,1,1,2014,false,x,Braga,,1.7196375708165100
0101000020E6100000EF7377CAB51351C0B189326A41674BC0,2018-08-08,Provincial Capital,Argentina,ARG,58028,42939,Ushuaia,Latin America,2018-08-08,6075,HIP-JM,42939,1,1,2014,false,x,,,0.09889730620634200
0101000020E610000025DC871B242B4FC0E42EBD5D647536C0,2018-08-08,Populated place,Argentina,ARG,6143,6143,Doctor Pedro P. Pena,Latin America,2018-08-08,1688,HIP-JM,6143,1,1,2014,false,x,Boquerón,,0.014148586413879200
0101000020E61000003C220E79A8D142C04813F6265F675040,2018-08-08,Populated place,Greenland,GRL,1829,1829,Tasiilaq,North America,2018-08-08,6132,HIP-JM,1829,1,1,2014,false,x,,,3.2552593172676500
0101000020E61000003614DBD4BCC44BC05FA2147338185240,2018-08-08,Populated place,Greenland,GRL,200,186,Kangersuatsiaq,North America,2018-08-08,6137,HIP-JM,186,1,1,2014,false,x,,,0.331043320400100
0101000020E61000008F018B8A564750C02F09C7B640015340,2018-08-08,Populated place,Greenland,GRL,66,66,Savissivik,North America,2018-08-08,6136,HIP-JM,66,1,1,2014,false,x,,,0.117466984658100
